     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
6.90000e+03  2.827e+12  9.235799e-01  0.000000e+00  0.000000e+00  2.706e+12
7.00000e+03  2.843e+12  9.232259e-01  0.000000e+00  0.000000e+00  2.722e+12
7.10000e+03  2.858e+12  9.228778e-01  0.000000e+00  0.000000e+00  2.738e+12
7.20000e+03  2.873e+12  9.225354e-01  0.000000e+00  0.000000e+00  2.753e+12
7.30000e+03  2.888e+12  9.221987e-01  0.000000e+00  0.000000e+00  2.767e+12
7.40000e+03  2.902e+12  9.218675e-01  0.000000e+00  0.000000e+00  2.782e+12
7.50000e+03  2.916e+12  9.215417e-01  0.000000e+00  0.000000e+00  2.796e+12
7.60000e+03  2.930e+12  9.212211e-01  0.000000e+00  0.000000e+00  2.810e+12
7.70000e+03  2.944e+12  9.209057e-01  0.000000e+00  0.000000e+00  2.823e+12
7.80000e+03  2.957e+12  9.205953e-01  0.000000e+00  0.000000e+00  2.836e+12
7.90000e+03  2.970e+12  9.202898e-01  0.000000e+00  0.000000e+00  2.849e+12
8.00000e+03  2.982e+12  9.199891e-01  0.000000e+00  0.000000e+00  2.861e+12
8.10000e+03  2.994e+12  9.196931e-01  0.000000e+00  0.000000e+00  2.874e+12
8.20000e+03  3.006e+12  9.194017e-01  0.000000e+00  0.000000e+00  2.886e+12
8.30000e+03  3.018e+12  9.191149e-01  0.000000e+00  0.000000e+00  2.897e+12
8.40000e+03  3.029e+12  9.188324e-01  0.000000e+00  0.000000e+00  2.908e+12
8.50000e+03  3.040e+12  9.185542e-01  0.000000e+00  0.000000e+00  2.920e+12
8.60000e+03  3.051e+12  9.182803e-01  0.000000e+00  0.000000e+00  2.930e+12
8.70000e+03  3.062e+12  9.180105e-01  0.000000e+00  0.000000e+00  2.941e+12
8.80000e+03  3.072e+12  9.177448e-01  0.000000e+00  0.000000e+00  2.951e+12
8.90000e+03  3.082e+12  9.174830e-01  0.000000e+00  0.000000e+00  2.961e+12
9.00000e+03  3.092e+12  9.172252e-01  0.000000e+00  0.000000e+00  2.971e+12
9.10000e+03  3.101e+12  9.169711e-01  0.000000e+00  0.000000e+00  2.981e+12
9.20000e+03  3.111e+12  9.167209e-01  0.000000e+00  0.000000e+00  2.990e+12
9.30000e+03  3.120e+12  9.164742e-01  0.000000e+00  0.000000e+00  2.999e+12
9.40000e+03  3.129e+12  9.162312e-01  0.000000e+00  0.000000e+00  3.008e+12
9.50000e+03  3.137e+12  9.159918e-01  0.000000e+00  0.000000e+00  3.017e+12
9.60000e+03  3.145e+12  9.157558e-01  0.000000e+00  0.000000e+00  3.026e+12
9.70000e+03  3.153e+12  9.155232e-01  0.000000e+00  0.000000e+00  3.034e+12
9.80000e+03  3.161e+12  9.152939e-01  0.000000e+00  0.000000e+00  3.042e+12
9.90000e+03  3.169e+12  9.150679e-01  0.000000e+00  0.000000e+00  3.049e+12
1.00000e+04  3.176e+12  9.148452e-01  0.000000e+00  0.000000e+00  3.057e+12
1.01000e+04  3.183e+12  9.146256e-01  0.000000e+00  0.000000e+00  3.064e+12
1.02000e+04  3.190e+12  9.144091e-01  0.000000e+00  0.000000e+00  3.071e+12
1.03000e+04  3.197e+12  9.141956e-01  0.000000e+00  0.000000e+00  3.078e+12
1.04000e+04  3.203e+12  9.139852e-01  0.000000e+00  0.000000e+00  3.084e+12
1.05000e+04  3.210e+12  9.137777e-01  0.000000e+00  0.000000e+00  3.090e+12
1.06000e+04  3.216e+12  9.135731e-01  0.000000e+00  0.000000e+00  3.096e+12
1.07000e+04  3.222e+12  9.133713e-01  0.000000e+00  0.000000e+00  3.102e+12
1.08000e+04  3.227e+12  9.131723e-01  0.000000e+00  0.000000e+00  3.107e+12
1.09000e+04  3.233e+12  9.129761e-01  0.000000e+00  0.000000e+00  3.113e+12
1.10000e+04  3.238e+12  9.127826e-01  0.000000e+00  0.000000e+00  3.118e+12
1.11000e+04  3.243e+12  9.125917e-01  0.000000e+00  0.000000e+00  3.122e+12
1.12000e+04  3.248e+12  9.124034e-01  0.000000e+00  0.000000e+00  3.126e+12
1.13000e+04  3.253e+12  9.122177e-01  0.000000e+00  0.000000e+00  3.130e+12
